""	"d"	"p"	"c"	"o"	"f"	"g"
"OTU_54"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_55"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_56"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_57"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacterales [O]"	"Desulfobacterales [O]"
"OTU_58"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_59"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_60"	"Bacteria"	"Aminicenantes"	"Aminicenantes [P]"	"Aminicenantes [P]"	"Aminicenantes [P]"	"Aminicenantes [P]"
"OTU_61"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Legionellales"	"Coxiellaceae"	"Coxiellaceae [F]"
"OTU_62"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Trichococcus"
"OTU_63"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Chitinophagaceae"	"Chitinophagaceae [F]"
"OTU_64"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Desulfuromonadales [O]"	"Desulfuromonadales [O]"
"OTU_65"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_66"	"Bacteria"	"(cd) WPS-2"	"(cd) WPS-2 [P]"	"(cd) WPS-2 [P]"	"(cd) WPS-2 [P]"	"(cd) WPS-2 [P]"
"OTU_67"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_68"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_69"	"Bacteria"	"Verrucomicrobia"	"Spartobacteria"	"Spartobacteria [C]"	"Spartobacteria [C]"	"Spartobacteria genera (is)"
"OTU_70"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinobacteria [C]"	"Actinobacteria [C]"	"Actinobacteria [C]"
"OTU_71"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_72"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_73"	"Bacteria"	"Verrucomicrobia"	"Subdivision3"	"Subdivision3 [C]"	"Subdivision3 [C]"	"Subdivision3 genera (is)"
"OTU_74"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp5"	"Acidobacteria Gp5 [C]"	"Acidobacteria Gp5 [C]"	"Gp5"
"OTU_75"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp2"	"Acidobacteria Gp2 [C]"	"Acidobacteria Gp2 [C]"	"Gp2"
"OTU_76"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_77"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp2"	"Acidobacteria Gp2 [C]"	"Acidobacteria Gp2 [C]"	"Gp2"
"OTU_78"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"
"OTU_79"	"Bacteria"	"Acidobacteria"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"
"OTU_80"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Syntrophorhabdaceae"	"Syntrophorhabdus"
"OTU_81"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_82"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_83"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_84"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiales [O]"	"Clostridiales [O]"
"OTU_85"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_86"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_87"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_88"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_89"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_90"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacteriaceae [F]"
"OTU_91"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_92"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_93"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Methylococcales"	"Methylococcales [O]"	"Methylococcales [O]"
"OTU_94"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	"Verrucomicrobiaceae [F]"
"OTU_95"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_96"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_97"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_98"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_99"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_100"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_101"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriia [C]"	"Sphingobacteriia [C]"	"Sphingobacteriia [C]"
"OTU_102"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_103"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_104"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp18"	"Acidobacteria Gp18 [C]"	"Acidobacteria Gp18 [C]"	"Gp18"
"OTU_105"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_106"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_107"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_108"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_109"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_110"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Desulfuromonadales [O]"	"Desulfuromonadales [O]"
"OTU_111"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_112"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_113"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"	"Betaproteobacteria [C]"
"OTU_114"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_115"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_116"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
"OTU_117"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_118"	"Bacteria"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Prevotellaceae"	"Prevotella"
"OTU_119"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_120"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_121"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_122"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_123"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_124"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_125"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacterales [O]"	"Rhodobacterales [O]"
"OTU_126"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_127"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_128"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae 1"	"Bacillus"
"OTU_129"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_130"	"Bacteria"	"Firmicutes"	"Negativicutes"	"Selenomonadales"	"Veillonellaceae"	"Veillonella"
"OTU_131"	"Bacteria"	"Chloroflexi"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"	"Chloroflexi [P]"
"OTU_132"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_133"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_134"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_135"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiales [O]"	"Burkholderiales [O]"
"OTU_136"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_137"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinobacteria [C]"	"Actinobacteria [C]"	"Actinobacteria [C]"
"OTU_138"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_139"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_140"	"Bacteria"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae 1"	"Bacillus"
"OTU_141"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_142"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_143"	"Bacteria"	"Verrucomicrobia"	"Subdivision3"	"Subdivision3 [C]"	"Subdivision3 [C]"	"Subdivision3 genera (is)"
"OTU_144"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_145"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"	"Verrucomicrobia [P]"
"OTU_146"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_147"	"Bacteria"	"Verrucomicrobia"	"Spartobacteria"	"Spartobacteria [C]"	"Spartobacteria [C]"	"Spartobacteria genera (is)"
"OTU_148"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_149"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylocystaceae"	"Methylocystaceae [F]"
"OTU_150"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_151"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetia [C]"	"Planctomycetia [C]"	"Planctomycetia [C]"
"OTU_152"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_153"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_154"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_155"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_156"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_157"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetales"	"Planctomycetaceae"	"Planctomycetaceae [F]"
"OTU_158"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_159"	"Bacteria"	"Planctomycetes"	"Planctomycetia"	"Planctomycetia [C]"	"Planctomycetia [C]"	"Planctomycetia [C]"
"OTU_160"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_161"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_162"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Acidithiobacillales"	"Acidithiobacillaceae"	"Acidithiobacillus"
"OTU_163"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_164"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_165"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_166"	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Erysipelotrichaceae [F]"
"OTU_167"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp18"	"Acidobacteria Gp18 [C]"	"Acidobacteria Gp18 [C]"	"Acidobacteria Gp18 [C]"
"OTU_168"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_169"	"Bacteria"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Nitrospira"
"OTU_170"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_171"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"
"OTU_172"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_173"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_174"	"Bacteria"	"Firmicutes"	"Clostridia"	"Clostridia [C]"	"Clostridia [C]"	"Clostridia [C]"
"OTU_175"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp4"	"Acidobacteria Gp4 [C]"	"Acidobacteria Gp4 [C]"	"Gp4"
"OTU_176"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_177"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_178"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_179"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_180"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_181"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp17"	"Acidobacteria Gp17 [C]"	"Acidobacteria Gp17 [C]"	"Gp17"
"OTU_182"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_183"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_184"	"Bacteria"	"Latescibacteria"	"Latescibacteria [P]"	"Latescibacteria [P]"	"Latescibacteria [P]"	"Latescibacteria genera (is)"
"OTU_185"	"Bacteria"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Burkholderiales [O]"	"Burkholderiales [O]"
"OTU_186"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_187"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_188"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp17"	"Acidobacteria Gp17 [C]"	"Acidobacteria Gp17 [C]"	"Gp17"
"OTU_189"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_190"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"	"Deltaproteobacteria [C]"
"OTU_191"	"Bacteria"	"Verrucomicrobia"	"Spartobacteria"	"Spartobacteria [C]"	"Spartobacteria [C]"	"Spartobacteria [C]"
"OTU_192"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_193"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_194"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_196"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp4"	"Acidobacteria Gp4 [C]"	"Acidobacteria Gp4 [C]"	"Acidobacteria Gp4 [C]"
"OTU_197"	"Bacteria"	"Ignavibacteriae"	"Ignavibacteria"	"Ignavibacteriales"	"Ignavibacteriaceae"	"Ignavibacterium"
"OTU_198"	"Bacteria"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfuromonadales"	"Desulfuromonadales [O]"	"Desulfuromonadales [O]"
"OTU_199"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_200"	"Bacteria"	"Planctomycetes"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"	"Planctomycetes [P]"
"OTU_201"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_202"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_203"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp18"	"Acidobacteria Gp18 [C]"	"Acidobacteria Gp18 [C]"	"Acidobacteria Gp18 [C]"
"OTU_204"	"Bacteria"	"Aminicenantes"	"Aminicenantes [P]"	"Aminicenantes [P]"	"Aminicenantes [P]"	"Aminicenantes [P]"
"OTU_205"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_206"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_207"	"Bacteria"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiales [O]"	"Verrucomicrobiales [O]"
"OTU_208"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_209"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_210"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_211"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_212"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_213"	"Bacteria"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriia [C]"	"Sphingobacteriia [C]"	"Sphingobacteriia [C]"
"OTU_214"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_215"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_216"	"Bacteria"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Flavobacterium"
"OTU_217"	"Bacteria"	"Acidobacteria"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"	"Acidobacteria [P]"
"OTU_218"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_219"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_220"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Mycobacteriaceae"	"Mycobacterium"
"OTU_221"	"Bacteria"	"Proteobacteria"	"Alphaproteobacteria"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"	"Alphaproteobacteria [C]"
"OTU_222"	"Bacteria"	"Actinobacteria"	"Actinobacteria"	"Gaiellales"	"Gaiellaceae"	"Gaiella"
"OTU_223"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_224"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_225"	"Bacteria"	"Proteobacteria"	"Gammaproteobacteria"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"	"Gammaproteobacteria [C]"
"OTU_226"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_227"	"Bacteria"	"Firmicutes"	"Erysipelotrichia"	"Erysipelotrichales"	"Erysipelotrichaceae"	"Turicibacter"
"OTU_228"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"
"OTU_229"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_230"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_231"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_232"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_233"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Gp6"
"OTU_234"	"Bacteria"	"Latescibacteria"	"Latescibacteria [P]"	"Latescibacteria [P]"	"Latescibacteria [P]"	"Latescibacteria [P]"
