""	"d"	"p"	"c"	"o"	"f"	"g"
"OTU_33"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_34"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp6"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"	"Acidobacteria Gp6 [C]"
"OTU_35"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Carnobacterium"
"OTU_36"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
"OTU_37"	"Bacteria"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Streptococcus"
"OTU_38"	"Bacteria"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"	"Bacteria [D]"
"OTU_39"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"	"Bacteroidetes [P]"
"OTU_40"	"Bacteria"	"Bacteroidetes"	"Bacteroidetes (is)"	"Bacteroidetes (is) [C]"	"Bacteroidetes (is) [C]"	"Bacteroidetes (is) [C]"
"OTU_41"	"Bacteria"	"Acidobacteria"	"Acidobacteria Gp2"	"Acidobacteria Gp2 [C]"	"Acidobacteria Gp2 [C]"	"Gp2"
"OTU_42"	"Bacteria"	"Proteobacteria"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"	"Proteobacteria [P]"
